state,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,Basic,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,L3,Offer1,Agent,Sports,Medsize
Arizona,Extended,Undergraduate,Employed,F,Suburban,Single,Personal Auto,L3,Offer3,Agent,Sports,Medsize
Nevada,Premium,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer1,Agent,Sports,Medsize
California,Basic,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,L2,Offer1,Call Center,Luxury,Medsize
Washington,Basic,Undergraduate,Employed,M,Rural,Single,Personal Auto,L1,Offer1,Agent,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,L3,Offer2,Web,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,L3,Offer1,Agent,Sports,Medsize
Arizona,Premium,Postgraduate,Employed,M,Urban,Single,Corporate Auto,L3,Offer1,Agent,Sports,Medsize
Oregon,Basic,Undergraduate,Unemployed,M,Suburban,Divorced,Corporate Auto,L3,Offer1,Agent,Sports,Medsize
Oregon,Extended,Undergraduate,Employed,F,Urban,Married,Special Auto,L2,Offer2,Branch,Sports,Medsize
California,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L3,Offer1,Agent,Sports,Small
California,Basic,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer2,Agent,Luxury,Medsize
California,Premium,Postgraduate,Employed,M,Urban,Married,Corporate Auto,L1,Offer2,Agent,Sports,Medsize
Arizona,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L3,Offer2,Branch,Luxury,Medsize
California,Basic,Undergraduate,Employed,M,Urban,Single,Corporate Auto,L3,Offer4,Call Center,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,L2,Offer2,Branch,Sports,Medsize
Nevada,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,L3,Offer2,Call Center,Sports,Medsize
California,Basic,Undergraduate,Unemployed,M,Suburban,Married,Personal Auto,L2,Offer3,Call Center,Luxury,Medsize
Oregon,Basic,Undergraduate,Employed,M,Urban,Married,Personal Auto,L2,Offer2,Branch,Sports,Medsize
California,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,L2,Offer1,Call Center,Sports,Small
Oregon,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L2,Offer1,Branch,Sports,Medsize
Washington,Extended,Undergraduate,Unemployed,F,Suburban,Divorced,Personal Auto,L3,Offer4,Call Center,Sports,Medsize
Arizona,Basic,Undergraduate,Unemployed,M,Suburban,Divorced,Personal Auto,L3,Offer1,Agent,Sports,Medsize
Nevada,Basic,Undergraduate,Employed,F,Suburban,Single,Corporate Auto,L3,Offer1,Branch,Sports,Medsize
California,Basic,Undergraduate,Unemployed,F,Suburban,Married,Corporate Auto,L2,Offer2,Branch,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer2,Call Center,Sports,Large
California,Premium,Undergraduate,Employed,F,Suburban,Single,Personal Auto,L3,Offer1,Agent,Sports,Small
Washington,Extended,Postgraduate,Unemployed,F,Urban,Married,Corporate Auto,L1,Offer1,Branch,Luxury,Medsize
Arizona,Premium,Undergraduate,Employed,F,Suburban,Single,Personal Auto,L3,Offer1,Call Center,Sports,Large
Oregon,Extended,Postgraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer2,Branch,Sports,Small
Arizona,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L2,Offer4,Call Center,Sports,Small
Nevada,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,L2,Offer2,Agent,Luxury,Medsize
California,Basic,Undergraduate,Employed,M,Urban,Married,Personal Auto,L3,Offer1,Call Center,Sports,Medsize
Washington,Basic,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,L2,Offer1,Agent,Sports,Small
Oregon,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,L1,Offer3,Web,Sports,Medsize
Arizona,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,L1,Offer1,Branch,Sports,Medsize
California,Premium,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L3,Offer1,Agent,Sports,Small
Oregon,Extended,Postgraduate,Employed,F,Suburban,Married,Personal Auto,L3,Offer2,Web,Sports,Small
Oregon,Extended,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L2,Offer3,Agent,Sports,Small
Arizona,Basic,High School or Below,Employed,M,Rural,Divorced,Personal Auto,L3,Offer1,Call Center,Sports,Medsize
Nevada,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,L3,Offer3,Call Center,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,F,Rural,Single,Corporate Auto,L3,Offer2,Agent,Sports,Medsize
California,Extended,Undergraduate,Employed,F,Suburban,Married,Personal Auto,L2,Offer2,Agent,Sports,Small
Arizona,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,L2,Offer4,Agent,Sports,Medsize
Washington,Basic,Undergraduate,Employed,M,Suburban,Married,Special Auto,L2,Offer2,Call Center,Sports,Large
Oregon,Premium,Postgraduate,Unemployed,F,Rural,Married,Personal Auto,L2,Offer1,Branch,Luxury,Medsize
Arizona,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L3,Offer3,Call Center,Sports,Medsize
Oregon,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,L2,Offer4,Agent,Sports,Medsize
California,Extended,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,L2,Offer2,Call Center,Sports,Medsize
Arizona,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,L2,Offer4,Branch,Sports,Medsize
Oregon,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,L2,Offer1,Agent,Luxury,Small
California,Basic,Undergraduate,Employed,F,Suburban,Divorced,Corporate Auto,L1,Offer1,Web,Luxury,Medsize
Nevada,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,L1,Offer4,Branch,Sports,Medsize
Washington,Basic,Undergraduate,Employed,M,Suburban,Single,Personal Auto,L3,Offer4,Agent,Sports,Medsize
